"symbol","lastPrice","openingPrice","high","low","close","change","trades","volume","value","tradeDate"
"ABBEYBDS",3.1,3.1,,,3.1,,5,25510,79984,"07 Feb 25"
"ABCTRANS",1.14,1.14,,,1.14,,19,53567,62183.99,"07 Feb 25"
"ACADEMY",2.72,2.72,2.99,2.99,2.99,0.27,5,138369,413723.31,"07 Feb 25"
"ACCESSCORP",27.6,27.6,28,27.6,28,0.4,582,23643459,657663820.1,"07 Feb 25"
"AFRINSURE",0.2,0.2,,,0.2,,0,,,"07 Feb 25"
"AFRIPRUD",29.75,29.75,31.95,29.75,31.95,2.2,159,2691371,82235627.05,"07 Feb 25"
"AFROMEDIA",0.24,0.24,,,0.24,,0,,,"07 Feb 25"
"AIICO",1.69,1.69,1.75,1.68,1.69,0,156,4236858,7202294.99,"07 Feb 25"
"AIRTELAFRI",2156.9,2156.9,,,2156.9,,5,566,1342835,"07 Feb 25"
"ALEX",7.15,7.15,,,7.15,,7,570,3937.05,"07 Feb 25"
"ARADEL",569.3,569.3,,,569.3,,307,1130785,622136094.4,"07 Feb 25"
"ASOSAVINGS",0.5,0.5,,,0.5,,0,,,"07 Feb 25"
"AUSTINLAZ",1.75,1.75,1.8,1.8,1.8,0.05,5,116857,210677.6,"07 Feb 25"
"AVAIF",1000000,1000000,,,1000000,,0,,,"07 Feb 25"
"BAPLC",6.25,6.25,,,6.25,,0,,,"07 Feb 25"
"BERGER",21,21,,,21,,30,169096,3550567.9,"07 Feb 25"
"BETAGLAS",86.5,86.5,,,86.5,,51,85454,7771307.05,"07 Feb 25"
"BUACEMENT",93,93,,,93,,94,438004,36660934.8,"07 Feb 25"
"BUAFOODS",415,415,,,415,,45,17498,6535503,"07 Feb 25"
"CADBURY",26.7,26.7,29.35,28.2,29.35,2.65,193,5203602,151719463.5,"07 Feb 25"
"CAP",47,47,47,47,47,0,14,538257,25307162.55,"07 Feb 25"
"CAPOIL",0.2,0.2,,,0.2,,0,,,"07 Feb 25"
"CAVERTON",2.05,2.05,2.1,2.1,2.1,0.05,53,660018,1402182.64,"07 Feb 25"
"CHAMPION",3.7,3.7,,,3.7,,17,225716,877871.26,"07 Feb 25"
"CHAMS",2.12,2.12,2.3,2.14,2.25,0.13,174,12124880,27344619.76,"07 Feb 25"
"CHELLARAM",7.89,7.89,,,7.89,,19,147280,1203220.2,"07 Feb 25"
"CILEASING",3.9,3.9,3.85,3.76,3.76,-0.14,43,1187192,4550009.1,"07 Feb 25"
"CONHALLPLC",3.05,3.05,3.1,3.04,3.04,-0.01,55,4616916,14212175.5,"07 Feb 25"
"CONOIL",387.2,387.2,,,387.2,,28,11662,4064207,"07 Feb 25"
"CORNERST",3.36,3.36,3.3,3.3,3.3,-0.06,27,684740,2251731.4,"07 Feb 25"
"CUSTODIAN",18.55,18.55,18.6,18.6,18.6,0.05,75,1153321,21547843.9,"07 Feb 25"
"CUTIX",2.4,2.4,2.55,2.4,2.45,0.05,170,24310241,58740402.88,"07 Feb 25"
"CWG",8,8,8.4,8.15,8.4,0.4,135,3377290,27808548.55,"07 Feb 25"
"DAARCOMM",0.81,0.81,,,0.81,,26,388615,304249.89,"07 Feb 25"
"DANGCEM",394,394,,,394,,249,452348,178663634.6,"07 Feb 25"
"DANGSUGAR",36.5,36.5,35.8,35.8,35.8,-0.7,210,1618782,58231131.65,"07 Feb 25"
"DEAPCAP",1.05,1.05,1.09,1.09,1.09,0.04,32,941705,998797.47,"07 Feb 25"
"DUNLOP",0.2,0.2,,,0.2,,0,,,"07 Feb 25"
"EKOCORP",5.8,5.8,,,5.8,,0,,,"07 Feb 25"
"ELLAHLAKES",3.2,3.2,3.24,3.2,3.22,0.02,79,5892643,18991822.72,"07 Feb 25"
"ENAMELWA",21.2,21.2,,,21.2,,2,23556,542088,"07 Feb 25"
"ETERNA",33.35,33.35,36.65,34.5,36.65,3.3,427,7237385,257616627.65,"07 Feb 25"
"ETI",31.3,31.3,,,31.3,,61,421280,13099901.45,"07 Feb 25"
"ETRANZACT",6.5,6.5,,,6.5,,10,15467,99100.5,"07 Feb 25"
"EUNISELL",13.34,13.34,,,13.34,,13,59993,732080.93,"07 Feb 25"
"FBNH",32,32,33,31.7,33,1,298,9568262,306047435.65,"07 Feb 25"
"FCMB",11.6,11.6,11.95,11.6,11.9,0.3,224,6227247,73065813.5,"07 Feb 25"
"FIDELITYBK",19.85,19.85,21.15,19.85,20.8,0.95,487,20441025,426283620.1,"07 Feb 25"
"FIDSON",19.1,19.1,20.9,20.9,20.9,1.8,187,2216991,44603867.3,"07 Feb 25"
"FTNCOCOA",1.88,1.88,1.87,1.7,1.87,-0.01,97,3934008,6956362.66,"07 Feb 25"
"GEREGU",1150,1150,,,1150,,39,3566,3690810,"07 Feb 25"
"GOLDBREW",7.87,7.87,,,7.87,,10,50465,361410.25,"07 Feb 25"
"GOLDINSURE",0.2,0.2,,,0.2,,0,,,"07 Feb 25"
"GTCO",64,64,64,64,64,0,290,5750843,367998881.45,"07 Feb 25"
"GUINEAINS",0.85,0.85,0.9,0.85,0.85,0,83,2039789,1773238.77,"07 Feb 25"
"GUINNESS",77,77,,,77,,38,84134,6452964.5,"07 Feb 25"
"HMCALL",4.98,4.98,,,4.98,,8,41788,218436.52,"07 Feb 25"
"HONYFLOUR",9.5,9.5,9.88,9.52,9.52,0.02,201,3561105,34602620.92,"07 Feb 25"
"IKEJAHOTEL",10.35,10.35,11.25,11.25,11.25,0.9,39,284534,3164543.8,"07 Feb 25"
"IMG",38,38,,,38,,10,6020,209848.5,"07 Feb 25"
"INFINITY",7,7,,,7,,1,20000,126000,"07 Feb 25"
"INTBREW",5.4,5.4,,,5.4,,32,512868,2761139.72,"07 Feb 25"
"INTENEGINS",2.5,2.5,,,2.5,,17,345481,837510.3,"07 Feb 25"
"JAIZBANK",3.4,3.4,3.32,3.29,3.3,-0.1,211,8167548,26973307.75,"07 Feb 25"
"JAPAULGOLD",2.18,2.18,2.2,2.11,2.11,-0.07,86,3570203,7733274.74,"07 Feb 25"
"JBERGER",139.8,139.8,,,139.8,,57,44399,5673593.4,"07 Feb 25"
"JOHNHOLT",7.51,7.51,,,7.51,,26,147503,1126864.87,"07 Feb 25"
"JULI",10.3,10.3,,,10.3,,7,13100,121830,"07 Feb 25"
"LASACO",3,3,2.94,2.94,2.94,-0.06,34,735570,2147943.8,"07 Feb 25"
"LEARNAFRCA",4.5,4.5,4.3,4.3,4.3,-0.2,10,169569,733330.54,"07 Feb 25"
"LINKASSURE",1.48,1.48,,,1.48,,14,257823,374946.99,"07 Feb 25"
"LIVESTOCK",5.28,5.28,5.8,5.39,5.8,0.52,166,6725571,38197967.24,"07 Feb 25"
"LIVINGTRUST",4.81,4.81,,,4.81,,2,400,1986,"07 Feb 25"
"MANSARD",9.45,9.45,9.55,9.26,9.26,-0.19,80,1114472,10450898.5,"07 Feb 25"
"MAYBAKER",7.75,7.75,8.5,8.4,8.5,0.75,80,2648845,22259778.6,"07 Feb 25"
"MBENEFIT",0.61,0.61,,,0.61,,0,,,"07 Feb 25"
"MCNICHOLS",1.8,1.8,1.78,1.75,1.75,-0.05,21,1213189,2132466.75,"07 Feb 25"
"MECURE",13.9,13.9,12.55,12.55,12.55,-1.35,5,111251,1396200.05,"07 Feb 25"
"MEDVIEWAIR",1.62,1.62,,,1.62,,0,,,"07 Feb 25"
"MEYER",9.25,9.25,,,9.25,,4,14288,119304.8,"07 Feb 25"
"MORISON",3.61,3.61,,,3.61,,0,,,"07 Feb 25"
"MRS",168,168,,,168,,107,393457,66981301.2,"07 Feb 25"
"MTNN",255,255,,,255,,349,629291,164431198.1,"07 Feb 25"
"MULTITREX",0.36,0.36,,,0.36,,0,,,"07 Feb 25"
"MULTIVERSE",10.05,10.05,9.05,9.05,9.05,-1,39,722608,6587307.65,"07 Feb 25"
"NAHCO",55.95,55.95,,,55.95,,108,1303497,74391274.6,"07 Feb 25"
